Year,Country,Attribute,Sector (NACE rev. 2),Unit,Value
2008,Austria,Number of persons employed,Tobacco,Number of people employed,0
2008,Austria,Number of persons employed,Total sectors,Number of people employed,3994100
2008,Austria,Number of persons employed,Wood products,Number of people employed,36264.40455
2008,Austria,Number of persons employed,Wood products and furniture,Number of people employed,44697.86768
2008,Austria,Number of persons employed,Wooden furniture,Number of people employed,8433.463125
2008,Austria,Turnover,Agriculture,Million euros,6568.5
2008,Austria,Turnover,Beverage,Million euros,4310.8
2008,Austria,Turnover,Bio-based chemicals (excluding biofuels),Million euros,1008.509613
2008,Austria,Turnover,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Million euros,2883.060389
2008,Austria,Turnover,Bio-based electricity,Million euros,284.706221
2008,Austria,Turnover,Bio-based pharmaceuticals,Million euros,1832.158403
2008,Austria,Turnover,Bio-based textile,Million euros,813.2153436
2008,Austria,Turnover,Bio-based textiles,Million euros,1726.87572
2008,Austria,Turnover,Bio-based wearing apparel,Million euros,355.2428726
2008,Austria,Turnover,Biodiesel,Million euros,304.7345742
2008,Austria,Turnover,Bioeconomy,Million euros,46563.32211
2008,Austria,Turnover,Bioethanol,Million euros,0
2008,Austria,Turnover,Fishing and Aquaculture,Million euros,34.2
2008,Austria,Turnover,Food,Million euros,13708.1
2008,Austria,Turnover,"Food, beverage and tobacco",Million euros,18018.9
2008,Austria,Turnover,Forestry,Million euros,2276.6
2008,Austria,Turnover,Leather,Million euros,558.4175033
2008,Austria,Turnover,Liquid biofuels,Million euros,304.7345742
2008,Austria,Turnover,Paper,Million euros,6194.060277
2008,Austria,Turnover,Rubber and bio-based plastics,Million euros,42.39237307
2008,Austria,Turnover,Tobacco,Million euros,0
2008,Austria,Turnover,Wood products,Million euros,7370.517346
2008,Austria,Turnover,Wood products and furniture,Million euros,8271.684928
2008,Austria,Turnover,Wooden furniture,Million euros,901.167582
2008,Austria,Value added at factor cost,Agriculture,Million euros,2884.2
2008,Austria,Value added at factor cost,Beverage,Million euros,944.8
2008,Austria,Value added at factor cost,Bio-based chemicals (excluding biofuels),Million euros,260.9145935
2008,Austria,Value added at factor cost,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Million euros,974.156214
2008,Austria,Value added at factor cost,Bio-based electricity,Million euros,144.9071852
2008,Austria,Value added at factor cost,Bio-based pharmaceuticals,Million euros,699.8070303
2008,Austria,Value added at factor cost,Bio-based textile,Million euros,257.1334069
2008,Austria,Value added at factor cost,Bio-based textiles,Million euros,516.1895101
2008,Austria,Value added at factor cost,Bio-based wearing apparel,Million euros,116.5986429
2008,Austria,Value added at factor cost,Biodiesel,Million euros,65.59437669
2008,Austria,Value added at factor cost,Bioeconomy,Million euros,13902.61687
2008,Austria,Value added at factor cost,Bioethanol,Million euros,0
2008,Austria,Value added at factor cost,Fishing and Aquaculture,Million euros,11
2008,Austria,Value added at factor cost,Food,Million euros,3361.5
2008,Austria,Value added at factor cost,"Food, beverage and tobacco",Million euros,4306.3
2008,Austria,Value added at factor cost,Forestry,Million euros,1047.7
2008,Austria,Value added at factor cost,Leather,Million euros,142.4574603
2008,Austria,Value added at factor cost,Liquid biofuels,Million euros,65.59437669
2008,Austria,Value added at factor cost,Paper,Million euros,1598.093701
2008,Austria,Value added at factor cost,Rubber and bio-based plastics,Million euros,13.43459018
2008,Austria,Value added at factor cost,Tobacco,Million euros,0
2008,Austria,Value added at factor cost,Wood products,Million euros,2029.503359
2008,Austria,Value added at factor cost,Wood products and furniture,Million euros,2354.475884
2008,Austria,Value added at factor cost,Wooden furniture,Million euros,324.9725253
2008,Belgium,Apparent labour productivity,Agriculture,1000 EUR per person,35.65060241
2008,Belgium,Apparent labour productivity,Beverage,1000 EUR per person,114.5563027
2008,Belgium,Apparent labour productivity,Bio-based chemicals (excluding biofuels),1000 EUR per person,118.1450966
2008,Belgium,Apparent labour productivity,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",1000 EUR per person,175.6273533
2008,Belgium,Apparent labour productivity,Bio-based electricity,1000 EUR per person,364.1351838
2008,Belgium,Apparent labour productivity,Bio-based pharmaceuticals,1000 EUR per person,191.4353188
2008,Belgium,Apparent labour productivity,Bio-based textile,1000 EUR per person,43.86374696
2008,Belgium,Apparent labour productivity,Bio-based textiles,1000 EUR per person,45.05569249
2008,Belgium,Apparent labour productivity,Bio-based wearing apparel,1000 EUR per person,45.82065769
2008,Belgium,Apparent labour productivity,Biodiesel,1000 EUR per person,105.1396431
2008,Belgium,Apparent labour productivity,Bioeconomy,1000 EUR per person,62.96978451
2008,Belgium,Apparent labour productivity,Bioethanol,1000 EUR per person,174.8230838
2008,Belgium,Apparent labour productivity,Fishing and Aquaculture,1000 EUR per person,69.16666667
2008,Belgium,Apparent labour productivity,Food,1000 EUR per person,60.14236403
2008,Belgium,Apparent labour productivity,"Food, beverage and tobacco",1000 EUR per person,66.48855221
2008,Belgium,Apparent labour productivity,Forestry,1000 EUR per person,40.375
2008,Belgium,Apparent labour productivity,Leather,1000 EUR per person,62.46081505
2008,Belgium,Apparent labour productivity,Liquid biofuels,1000 EUR per person,156.2319611
2008,Belgium,Apparent labour productivity,Paper,1000 EUR per person,83.68189257
2008,Belgium,Apparent labour productivity,Rubber and bio-based plastics,1000 EUR per person,79.86572147
2008,Belgium,Apparent labour productivity,Tobacco,1000 EUR per person,103.8713911
2008,Belgium,Apparent labour productivity,Wood products,1000 EUR per person,66.57633887
2008,Belgium,Apparent labour productivity,Wood products and furniture,1000 EUR per person,60.46956056
2008,Belgium,Apparent labour productivity,Wooden furniture,1000 EUR per person,46.53861545
2008,Belgium,Location Quotient,Agriculture,Ratio,0.25393492
2008,Belgium,Location Quotient,Beverage,Ratio,1.061775024
2008,Belgium,Location Quotient,Bio-based chemicals (excluding biofuels),Ratio,1.064735526
2008,Belgium,Location Quotient,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Ratio,1.301115952
2008,Belgium,Location Quotient,Bio-based electricity,Ratio,1.06226092
2008,Belgium,Location Quotient,Bio-based pharmaceuticals,Ratio,1.652329905
2008,Belgium,Location Quotient,Bio-based textile,Ratio,1.241673445
2008,Belgium,Location Quotient,Bio-based textiles,Ratio,0.447266498
2008,Belgium,Location Quotient,Bio-based wearing apparel,Ratio,0.188292051
2008,Belgium,Location Quotient,Biodiesel,Ratio,0.704910195
2008,Belgium,Location Quotient,Bioeconomy,Ratio,0.495043706
2008,Belgium,Location Quotient,Bioethanol,Ratio,3.250164879
2008,Belgium,Location Quotient,Fishing and Aquaculture,Ratio,0.137674589
2008,Belgium,Location Quotient,Food,Ratio,1.007938922
2008,Belgium,Location Quotient,"Food, beverage and tobacco",Ratio,1.018341966
2008,Belgium,Location Quotient,Forestry,Ratio,0.203570142
2008,Belgium,Location Quotient,Leather,Ratio,0.081733301
2008,Belgium,Location Quotient,Liquid biofuels,Ratio,1.655437832
2008,Belgium,Location Quotient,Paper,Ratio,1.021887392
2008,Belgium,Location Quotient,Rubber and bio-based plastics,Ratio,0.14746277
2008,Belgium,Location Quotient,Tobacco,Ratio,1.495391859
2008,Belgium,Location Quotient,Wood products,Ratio,0.548521297
2008,Belgium,Location Quotient,Wood products and furniture,Ratio,0.544140831
2008,Belgium,Location Quotient,Wooden furniture,Ratio,0.534405158
2008,Belgium,Number of persons employed,Agriculture,Number of people employed,66400
2008,Belgium,Number of persons employed,Beverage,Number of people employed,10559
2008,Belgium,Number of persons employed,Bio-based chemicals (excluding biofuels),Number of people employed,2220.050042
2008,Belgium,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Number of people employed,11613.52613
2008,Belgium,Number of persons employed,Bio-based electricity,Number of people employed,307.7941499
2008,Belgium,Number of persons employed,Bio-based pharmaceuticals,Number of people employed,9206.34393
2008,Belgium,Number of persons employed,Bio-based textile,Number of people employed,8537.339286
2008,Belgium,Number of persons employed,Bio-based textiles,Number of people employed,11431.23322
2008,Belgium,Number of persons employed,Bio-based wearing apparel,Number of people employed,2415.393938
2008,Belgium,Number of persons employed,Biodiesel,Number of people employed,143.1632725
2008,Belgium,Number of persons employed,Bioeconomy,Number of people employed,229555.241
2008,Belgium,Number of persons employed,Bioethanol,Number of people employed,393.4428045
2008,Belgium,Number of persons employed,Fishing and Aquaculture,Number of people employed,600
2008,Belgium,Number of persons employed,Food,Number of people employed,88954
2008,Belgium,Number of persons employed,"Food, beverage and tobacco",Number of people employed,101037
2008,Belgium,Number of persons employed,Forestry,Number of people employed,2400
2008,Belgium,Number of persons employed,Leather,Number of people employed,478.5
2008,Belgium,Number of persons employed,Liquid biofuels,Number of people employed,536.606077
2008,Belgium,Number of persons employed,Paper,Number of people employed,15110.26342
2008,Belgium,Number of persons employed,Rubber and bio-based plastics,Number of people employed,187.1321634
2008,Belgium,Number of persons employed,Tobacco,Number of people employed,1524
2008,Belgium,Number of persons employed,Total sectors,Number of people employed,4445900
2008,Belgium,Number of persons employed,Wood products,Number of people employed,13987.32495
2008,Belgium,Number of persons employed,Wood products and furniture,Number of people employed,20118.81796
2008,Belgium,Number of persons employed,Wooden furniture,Number of people employed,6131.49301
2008,Belgium,Turnover,Agriculture,Million euros,8051.6
2008,Belgium,Turnover,Beverage,Million euros,4704.1
2008,Belgium,Turnover,Bio-based chemicals (excluding biofuels),Million euros,1445.278354
2008,Belgium,Turnover,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Million euros,4928.064111
2008,Belgium,Turnover,Bio-based electricity,Million euros,793.7505651
2008,Belgium,Turnover,Bio-based pharmaceuticals,Million euros,3419.899495
2008,Belgium,Turnover,Bio-based textile,Million euros,1584.845523
2008,Belgium,Turnover,Bio-based textiles,Million euros,2155.547863
2008,Belgium,Turnover,Bio-based wearing apparel,Million euros,430.5648401
2008,Belgium,Turnover,Biodiesel,Million euros,66.90856045
2008,Belgium,Turnover,Bioeconomy,Million euros,66228.47431
2008,Belgium,Turnover,Bioethanol,Million euros,465.7158125
2008,Belgium,Turnover,Fishing and Aquaculture,Million euros,167
2008,Belgium,Turnover,Food,Million euros,33207.29132
2008,Belgium,Turnover,"Food, beverage and tobacco",Million euros,38521.39132
2008,Belgium,Turnover,Forestry,Million euros,262.3
2008,Belgium,Turnover,Leather,Million euros,140.1375
2008,Belgium,Turnover,Liquid biofuels,Million euros,532.6243729
2008,Belgium,Turnover,Paper,Million euros,6031.216038
2008,Belgium,Turnover,Rubber and bio-based plastics,Million euros,62.88626149
2008,Belgium,Turnover,Tobacco,Million euros,610
2008,Belgium,Turnover,Wood products,Million euros,3753.127547
2008,Belgium,Turnover,Wood products and furniture,Million euros,4784.980042
2008,Belgium,Turnover,Wooden furniture,Million euros,1031.852495
2008,Belgium,Value added at factor cost,Agriculture,Million euros,2367.2
2008,Belgium,Value added at factor cost,Beverage,Million euros,1209.6
2008,Belgium,Value added at factor cost,Bio-based chemicals (excluding biofuels),Million euros,262.2880266
2008,Belgium,Value added at factor cost,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Million euros,2039.652857
2008,Belgium,Value added at factor cost,Bio-based electricity,Million euros,112.0786793
2008,Belgium,Value added at factor cost,Bio-based pharmaceuticals,Million euros,1762.419385
2008,Belgium,Value added at factor cost,Bio-based textile,Million euros,374.4796902
2008,Belgium,Value added at factor cost,Bio-based textiles,Million euros,515.042129
2008,Belgium,Value added at factor cost,Bio-based wearing apparel,Million euros,110.6749388
2008,Belgium,Value added at factor cost,Biodiesel,Million euros,15.05213538
2008,Belgium,Value added at factor cost,Bioeconomy,Million euros,14455.04406
2008,Belgium,Value added at factor cost,Bioethanol,Million euros,68.78288439
2008,Belgium,Value added at factor cost,Fishing and Aquaculture,Million euros,41.5
2008,Belgium,Value added at factor cost,Food,Million euros,5349.90385
2008,Belgium,Value added at factor cost,"Food, beverage and tobacco",Million euros,6717.80385
2008,Belgium,Value added at factor cost,Forestry,Million euros,96.9
2008,Belgium,Value added at factor cost,Leather,Million euros,29.8875
2008,Belgium,Value added at factor cost,Liquid biofuels,Million euros,83.83501977
2008,Belgium,Value added at factor cost,Paper,Million euros,1264.455441
2008,Belgium,Value added at factor cost,Rubber and bio-based plastics,Million euros,14.94544524
2008,Belgium,Value added at factor cost,Tobacco,Million euros,158.3
2008,Belgium,Value added at factor cost,Wood products,Million euros,931.2248859
2008,Belgium,Value added at factor cost,Wood products and furniture,Million euros,1216.576081
2008,Belgium,Value added at factor cost,Wooden furniture,Million euros,285.3511953
2008,Bulgaria,Apparent labour productivity,Agriculture,1000 EUR per person,2.81657531
2008,Bulgaria,Apparent labour productivity,Beverage,1000 EUR per person,12.42312423
2008,Bulgaria,Apparent labour productivity,Bio-based chemicals (excluding biofuels),1000 EUR per person,14.88637449
2008,Bulgaria,Apparent labour productivity,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",1000 EUR per person,17.46190845
2008,Bulgaria,Apparent labour productivity,Bio-based electricity,1000 EUR per person,33.28184244
2008,Bulgaria,Apparent labour productivity,Bio-based pharmaceuticals,1000 EUR per person,19.23925028
2008,Bulgaria,Apparent labour productivity,Bio-based textile,1000 EUR per person,5.494378784
2008,Bulgaria,Apparent labour productivity,Bio-based textiles,1000 EUR per person,3.395980359
2008,Bulgaria,Apparent labour productivity,Bio-based wearing apparel,1000 EUR per person,3.17490662
2008,Bulgaria,Apparent labour productivity,Bioeconomy,1000 EUR per person,3.725387808
2008,Bulgaria,Apparent labour productivity,Bioethanol,1000 EUR per person,3.822937626
2008,Bulgaria,Apparent labour productivity,Fishing and Aquaculture,1000 EUR per person,9.259259259
2008,Bulgaria,Apparent labour productivity,Food,1000 EUR per person,6.37943187
2008,Bulgaria,Apparent labour productivity,"Food, beverage and tobacco",1000 EUR per person,7.789802703
2008,Bulgaria,Apparent labour productivity,Forestry,1000 EUR per person,8.461953589
2008,Bulgaria,Apparent labour productivity,Leather,1000 EUR per person,3.036307165
2008,Bulgaria,Apparent labour productivity,Liquid biofuels,1000 EUR per person,3.822937626
2008,Bulgaria,Apparent labour productivity,Paper,1000 EUR per person,6.346344542
2008,Bulgaria,Apparent labour productivity,Rubber and bio-based plastics,1000 EUR per person,6.623098275
2008,Bulgaria,Apparent labour productivity,Tobacco,1000 EUR per person,18.85902876
2008,Bulgaria,Apparent labour productivity,Wood products,1000 EUR per person,4.829604851
2008,Bulgaria,Apparent labour productivity,Wood products and furniture,1000 EUR per person,4.697474694
2008,Bulgaria,Apparent labour productivity,Wooden furniture,1000 EUR per person,4.536495854
2008,Bulgaria,Location Quotient,Agriculture,Ratio,3.62731503
2008,Bulgaria,Location Quotient,Beverage,Ratio,2.271169252
2008,Bulgaria,Location Quotient,Bio-based chemicals (excluding biofuels),Ratio,0.797736848
2008,Bulgaria,Location Quotient,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Ratio,0.746015994
2008,Bulgaria,Location Quotient,Bio-based electricity,Ratio,0.022425166
2008,Bulgaria,Location Quotient,Bio-based pharmaceuticals,Ratio,0.831209063
2008,Bulgaria,Location Quotient,Bio-based textile,Ratio,1.392405667
2008,Bulgaria,Location Quotient,Bio-based textiles,Ratio,3.684051554
2008,Bulgaria,Location Quotient,Bio-based wearing apparel,Ratio,5.811682714
2008,Bulgaria,Location Quotient,Biodiesel,Ratio,0
2008,Bulgaria,Location Quotient,Bioeconomy,Ratio,2.764445115
2008,Bulgaria,Location Quotient,Bioethanol,Ratio,3.038915042
2008,Bulgaria,Location Quotient,Fishing and Aquaculture,Ratio,0.327835696
2008,Bulgaria,Location Quotient,Food,Ratio,1.339812075
2008,Bulgaria,Location Quotient,"Food, beverage and tobacco",Ratio,1.475961641
2008,Bulgaria,Location Quotient,Forestry,Ratio,2.079257143
2008,Bulgaria,Location Quotient,Leather,Ratio,1.713491434
2008,Bulgaria,Location Quotient,Liquid biofuels,Ratio,1.134885539
2008,Bulgaria,Location Quotient,Paper,Ratio,0.9818908
2008,Bulgaria,Location Quotient,Rubber and bio-based plastics,Ratio,0.286986096
2008,Bulgaria,Location Quotient,Tobacco,Ratio,5.506436725
2008,Bulgaria,Location Quotient,Wood products,Ratio,0.97597136
2008,Bulgaria,Location Quotient,Wood products and furniture,Ratio,1.225596337
2008,Bulgaria,Location Quotient,Wooden furniture,Ratio,1.780392705
2008,Bulgaria,Number of persons employed,Agriculture,Number of people employed,716970
2008,Bulgaria,Number of persons employed,Beverage,Number of people employed,17073
2008,Bulgaria,Number of persons employed,Bio-based chemicals (excluding biofuels),Number of people employed,1257.334197
2008,Bulgaria,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Number of people employed,5033.456207
2008,Bulgaria,Number of persons employed,Bio-based electricity,Number of people employed,4.91173456
2008,Bulgaria,Number of persons employed,Bio-based pharmaceuticals,Number of people employed,3500.827872
2008,Bulgaria,Number of persons employed,Bio-based textile,Number of people employed,7236.873582
2008,Bulgaria,Number of persons employed,Bio-based textiles,Number of people employed,71174.17989
2008,Bulgaria,Number of persons employed,Bio-based wearing apparel,Number of people employed,56354.41385
2008,Bulgaria,Number of persons employed,Biodiesel,Number of people employed,0
2008,Bulgaria,Number of persons employed,Bioeconomy,Number of people employed,968995.3588
2008,Bulgaria,Number of persons employed,Bioethanol,Number of people employed,278.0768459
2008,Bulgaria,Number of persons employed,Fishing and Aquaculture,Number of people employed,1080
2008,Bulgaria,Number of persons employed,Food,Number of people employed,89381
2008,Bulgaria,Number of persons employed,"Food, beverage and tobacco",Number of people employed,110696
2008,Bulgaria,Number of persons employed,Forestry,Number of people employed,18530
2008,Bulgaria,Number of persons employed,Leather,Number of people employed,7582.892463
2008,Bulgaria,Number of persons employed,Liquid biofuels,Number of people employed,278.0768459
2008,Bulgaria,Number of persons employed,Paper,Number of people employed,10974.94219
2008,Bulgaria,Number of persons employed,Rubber and bio-based plastics,Number of people employed,275.2941379
2008,Bulgaria,Number of persons employed,Tobacco,Number of people employed,4242
2008,Bulgaria,Number of persons employed,Total sectors,Number of people employed,3360700
2008,Bulgaria,Number of persons employed,Wood products,Number of people employed,18812.57739
2008,Bulgaria,Number of persons employed,Wood products and furniture,Number of people employed,34253.79197
2008,Bulgaria,Number of persons employed,Wooden furniture,Number of people employed,15441.21459
2008,Bulgaria,Turnover,Agriculture,Million euros,4914.6
2008,Bulgaria,Turnover,Beverage,Million euros,913.4
2008,Bulgaria,Turnover,Bio-based chemicals (excluding biofuels),Million euros,99.1182367
2008,Bulgaria,Turnover,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Million euros,395.2421398
2008,Bulgaria,Turnover,Bio-based electricity,Million euros,0.49600173
2008,Bulgaria,Turnover,Bio-based pharmaceuticals,Million euros,286.8787559
2008,Bulgaria,Turnover,Bio-based textile,Million euros,197.585007
2008,Bulgaria,Turnover,Bio-based textiles,Million euros,704.6074731
2008,Bulgaria,Turnover,Bio-based wearing apparel,Million euros,444.7724171
2008,Bulgaria,Turnover,Biodiesel,Million euros,0
2008,Bulgaria,Turnover,Bioeconomy,Million euros,12700.57296
2008,Bulgaria,Turnover,Bioethanol,Million euros,19.91858293
2008,Bulgaria,Turnover,Fishing and Aquaculture,Million euros,25.9
2008,Bulgaria,Turnover,Food,Million euros,3499.7
2008,Bulgaria,Turnover,"Food, beverage and tobacco",Million euros,5208.5
2008,Bulgaria,Turnover,Forestry,Million euros,352.7
2008,Bulgaria,Turnover,Leather,Million euros,62.25004897
2008,Bulgaria,Turnover,Liquid biofuels,Million euros,19.91858293
2008,Bulgaria,Turnover,Paper,Million euros,387.4323774
2008,Bulgaria,Turnover,Rubber and bio-based plastics,Million euros,9.245147291
2008,Bulgaria,Turnover,Tobacco,Million euros,795.4
2008,Bulgaria,Turnover,Wood products,Million euros,428.6631425
2008,Bulgaria,Turnover,Wood products and furniture,Million euros,691.1763835
2008,Bulgaria,Turnover,Wooden furniture,Million euros,262.5132411
2008,Bulgaria,Value added at factor cost,Agriculture,Million euros,2019.4
2008,Bulgaria,Value added at factor cost,Beverage,Million euros,212.1
2008,Bulgaria,Value added at factor cost,Bio-based chemicals (excluding biofuels),Million euros,18.71714772
2008,Bulgaria,Value added at factor cost,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",Million euros,87.89375145
2008,Bulgaria,Value added at factor cost,Bio-based electricity,Million euros,0.163471576
2008,Bulgaria,Value added at factor cost,Bio-based pharmaceuticals,Million euros,67.35330359
2008,Bulgaria,Value added at factor cost,Bio-based textile,Million euros,39.76212467
2008,Bulgaria,Value added at factor cost,Bio-based textiles,Million euros,241.706117
2008,Bulgaria,Value added at factor cost,Bio-based wearing apparel,Million euros,178.9200016
2008,Bulgaria,Value added at factor cost,Biodiesel,Million euros,0
2008,Bulgaria,Value added at factor cost,Bioeconomy,Million euros,3609.883496
2008,Bulgaria,Value added at factor cost,Bioethanol,Million euros,1.063070437
2008,Bulgaria,Value added at factor cost,Fishing and Aquaculture,Million euros,10
2008,Bulgaria,Value added at factor cost,Food,Million euros,570.2
2008,Bulgaria,Value added at factor cost,"Food, beverage and tobacco",Million euros,862.3
2008,Bulgaria,Value added at factor cost,Forestry,Million euros,156.8
2008,Bulgaria,Value added at factor cost,Leather,Million euros,23.02399072
2008,Bulgaria,Value added at factor cost,Liquid biofuels,Million euros,1.063070437
2008,Bulgaria,Value added at factor cost,Paper,Million euros,69.65076448
2008,Bulgaria,Value added at factor cost,Rubber and bio-based plastics,Million euros,1.82330013
2008,Bulgaria,Value added at factor cost,Tobacco,Million euros,80
2008,Bulgaria,Value added at factor cost,Wood products,Million euros,90.85731499
2008,Bulgaria,Value added at factor cost,Wood products and furniture,Million euros,160.906321
2008,Bulgaria,Value added at factor cost,Wooden furniture,Million euros,70.04900596
2008,Croatia,Apparent labour productivity,Agriculture,1000 EUR per person,8.494460956
2008,Croatia,Apparent labour productivity,Beverage,1000 EUR per person,31.68466272
2008,Croatia,Apparent labour productivity,Bio-based chemicals (excluding biofuels),1000 EUR per person,33.6596013
2008,Croatia,Apparent labour productivity,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",1000 EUR per person,51.21301969
2008,Croatia,Apparent labour productivity,Bio-based electricity,1000 EUR per person,81.35135135
2008,Croatia,Apparent labour productivity,Bio-based pharmaceuticals,1000 EUR per person,54.55332035
2008,Croatia,Apparent labour productivity,Bio-based textile,1000 EUR per person,11.82608696
2008,Croatia,Apparent labour productivity,Bio-based textiles,1000 EUR per person,9.62558544
2008,Croatia,Apparent labour productivity,Bio-based wearing apparel,1000 EUR per person,8.763178377
2008,Croatia,Apparent labour productivity,Biodiesel,1000 EUR per person,27.47747748
