FREQ,TIME_FORMAT,TIME_PERIOD,SECTPERF,UNIT,GEO,OBS_STATUS,OBS_VALUE,SHARE,FREQ_DESC,TIME_FORMAT_DESC,TIME_PERIOD_DESC,OBS_STATUS_DESC,SECTPERF_DESC,UNIT_DESC,GEO_DESC
A,P1Y,2000,HES,PC_GDP,HU,d,0.19,0.241,Annual,Annual,Year 2000,"definition differs, see metadata",Higher education sector,Percentage of GDP,Hungary
A,P1Y,2000,GOV,PC_GDP,HU,d,0.21,0.266,Annual,Annual,Year 2000,"definition differs, see metadata",Government sector,Percentage of GDP,Hungary
A,P1Y,2000,BES,PC_GDP,HU,d,0.35,0.443,Annual,Annual,Year 2000,"definition differs, see metadata",Business enterprise sector,Percentage of GDP,Hungary
A,P1Y,2000,BES,PC_GDP,ES,,0.47,0.534,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Spain
A,P1Y,2000,GOV,PC_GDP,ES,,0.14,0.159,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Spain
A,P1Y,2000,HES,PC_GDP,ES,,0.26,0.295,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Spain
A,P1Y,2000,PNP,PC_GDP,ES,,0.01,0.011,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Spain
A,P1Y,2000,GOV,PC_GDP,EE,,0.14,0.233,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Estonia
A,P1Y,2000,HES,PC_GDP,EE,,0.31,0.517,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Estonia
A,P1Y,2000,PNP,PC_GDP,EE,,0.01,0.017,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Estonia
A,P1Y,2000,TOTAL,PC_GDP,EE,,0.6,1,Annual,Annual,Year 2000,No data,All sectors,Percentage of GDP,Estonia
A,P1Y,2000,BES,PC_GDP,DK,,1.46,0.667,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Denmark
A,P1Y,2000,GOV,PC_GDP,DK,,0.28,0.128,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Denmark
A,P1Y,2000,HES,PC_GDP,DK,,0.43,0.196,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Denmark
A,P1Y,2000,PNP,PC_GDP,DK,,0.02,0.009,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Denmark
A,P1Y,2000,TOTAL,PC_GDP,DK,,2.19,1,Annual,Annual,Year 2000,No data,All sectors,Percentage of GDP,Denmark
A,P1Y,2000,BES,PC_GDP,CZ,,0.67,0.604,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Czechia
A,P1Y,2000,GOV,PC_GDP,CZ,,0.28,0.252,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Czechia
A,P1Y,2000,HES,PC_GDP,CZ,,0.16,0.144,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Czechia
A,P1Y,2000,PNP,PC_GDP,CZ,,0.01,0.009,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Czechia
A,P1Y,2000,BES,PC_GDP,IE,,0.78,0.722,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Ireland
A,P1Y,2000,GOV,PC_GDP,IE,,0.09,0.083,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Ireland
A,P1Y,2000,HES,PC_GDP,IE,,0.22,0.204,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Ireland
A,P1Y,2000,PNP,PC_GDP,FR,,0.03,0.014,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,France
A,P1Y,2000,BES,PC_GDP,FI,,2.3,0.71,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Finland
A,P1Y,2000,GOV,PC_GDP,FI,,0.34,0.105,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Finland
A,P1Y,2000,HES,PC_GDP,FI,,0.58,0.179,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Finland
A,P1Y,2000,PNP,PC_GDP,FI,,0.02,0.006,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Finland
A,P1Y,2000,BES,PC_GDP,CY,,0.05,0.217,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Cyprus
A,P1Y,2000,GOV,PC_GDP,CY,,0.11,0.478,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Cyprus
A,P1Y,2000,HES,PC_GDP,CY,,0.06,0.261,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Cyprus
A,P1Y,2000,PNP,PC_GDP,CY,,0.02,0.087,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Cyprus
A,P1Y,2000,TOTAL,PC_GDP,CY,,0.23,1,Annual,Annual,Year 2000,No data,All sectors,Percentage of GDP,Cyprus
A,P1Y,2000,GOV,PC_GDP,BG,,0.34,0.68,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Bulgaria
A,P1Y,2000,HES,PC_GDP,BG,,0.05,0.1,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Bulgaria
A,P1Y,2000,PNP,PC_GDP,BG,,0,0,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Bulgaria
A,P1Y,2000,GOV,PC_GDP,BE,,0.12,0.062,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Belgium
A,P1Y,2000,HES,PC_GDP,BE,,0.39,0.201,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Belgium
A,P1Y,2000,PNP,PC_GDP,BE,,0.02,0.01,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Belgium
A,P1Y,2000,PNP,PC_GDP,UK,,0.03,0.019,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,United Kingdom
A,P1Y,2000,BES,PC_GDP,SK,,0.42,0.656,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Slovakia
A,P1Y,2000,GOV,PC_GDP,SK,,0.16,0.25,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Slovakia
A,P1Y,2000,HES,PC_GDP,SK,,0.06,0.094,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Slovakia
A,P1Y,2000,PNP,PC_GDP,SK,,0,0,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Slovakia
A,P1Y,2000,TOTAL,PC_GDP,SK,,0.64,1,Annual,Annual,Year 2000,No data,All sectors,Percentage of GDP,Slovakia
A,P1Y,2000,GOV,PC_GDP,SI,,0.35,0.257,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Slovenia
A,P1Y,2000,HES,PC_GDP,SI,,0.23,0.169,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Slovenia
A,P1Y,2000,PNP,PC_GDP,SI,,0.02,0.015,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Slovenia
A,P1Y,2000,TOTAL,PC_GDP,SI,,1.36,1,Annual,Annual,Year 2000,No data,All sectors,Percentage of GDP,Slovenia
A,P1Y,2000,BES,PC_GDP,RO,,0.25,0.676,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Romania
A,P1Y,2000,GOV,PC_GDP,RO,,0.07,0.189,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Romania
A,P1Y,2000,HES,PC_GDP,RO,,0.04,0.108,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Romania
A,P1Y,2000,BES,PC_GDP,PL,,0.23,0.359,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Poland
A,P1Y,2000,GOV,PC_GDP,PL,,0.21,0.328,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Poland
A,P1Y,2000,HES,PC_GDP,PL,,0.2,0.313,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Poland
A,P1Y,2000,PNP,PC_GDP,PL,,0,0,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Poland
A,P1Y,2000,TOTAL,PC_GDP,PL,,0.64,1,Annual,Annual,Year 2000,No data,All sectors,Percentage of GDP,Poland
A,P1Y,2000,PNP,PC_GDP,NL,,0.02,0.011,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Netherlands
A,P1Y,2000,BES,PC_GDP,LV,,0.18,0.409,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Latvia
A,P1Y,2000,GOV,PC_GDP,LV,,0.1,0.227,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Latvia
A,P1Y,2000,PNP,PC_GDP,LV,,0,0,Annual,Annual,Year 2000,No data,Private non-profit sector,Percentage of GDP,Latvia
A,P1Y,2000,TOTAL,PC_GDP,LV,,0.44,1,Annual,Annual,Year 2000,No data,All sectors,Percentage of GDP,Latvia
A,P1Y,2000,GOV,PC_GDP,LU,,0.11,0.07,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Luxembourg
A,P1Y,2000,HES,PC_GDP,LU,,0,0,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Luxembourg
A,P1Y,2000,BES,PC_GDP,IT,,0.5,0.5,Annual,Annual,Year 2000,No data,Business enterprise sector,Percentage of GDP,Italy
A,P1Y,2000,GOV,PC_GDP,IT,,0.19,0.19,Annual,Annual,Year 2000,No data,Government sector,Percentage of GDP,Italy
A,P1Y,2000,HES,PC_GDP,IT,,0.31,0.31,Annual,Annual,Year 2000,No data,Higher education sector,Percentage of GDP,Italy
A,P1Y,2000,PNP,PPS_HAB_KP05,ES,,1.7,0.009,Annual,Annual,Year 2000,No data,Private non-profit sector,Purchasing Power Standard (PPS) per inhabitant at constant 2005 prices,Spain
A,P1Y,2000,PNP,PPS_HAB_KP05,EE,,1.1,0.019,Annual,Annual,Year 2000,No data,Private non-profit sector,Purchasing Power Standard (PPS) per inhabitant at constant 2005 prices,Estonia
A,P1Y,2000,PNP,PPS_HAB_KP05,CZ,,0.9,0.005,Annual,Annual,Year 2000,No data,Private non-profit sector,Purchasing Power Standard (PPS) per inhabitant at constant 2005 prices,Czechia
A,P1Y,2000,HES,PPS_HAB_KP05,BG,,3,0.098,Annual,Annual,Year 2000,No data,Higher education sector,Purchasing Power Standard (PPS) per inhabitant at constant 2005 prices,Bulgaria
A,P1Y,2000,PNP,PPS_HAB_KP05,BG,,0,0,Annual,Annual,Year 2000,No data,Private non-profit sector,Purchasing Power Standard (PPS) per inhabitant at constant 2005 prices,Bulgaria
A,P1Y,2000,PNP,PPS_HAB_KP05,SK,,0,0,Annual,Annual,Year 2000,No data,Private non-profit sector,Purchasing Power Standard (PPS) per inhabitant at constant 2005 prices,Slovakia
A,P1Y,2000,PNP,PPS_HAB_KP05,SI,,2.7,0.012,Annual,Annual,Year 2000,No data,Private non-profit sector,Purchasing Power Standard (PPS) per inhabitant at constant 2005 prices,Slovenia
A,P1Y,2000,HES,PPS_HAB_KP05,RO,,2.5,0.116,Annual,Annual,Year 2000,No data,Higher education sector,Purchasing Power Standard (PPS) per inhabitant at constant 2005 prices,Romania
A,P1Y,2000,PNP,PPS_HAB_KP05,PL,,0.1,0.002,Annual,Annual,Year 2000,No data,Private non-profit sector,Purchasing Power Standard (PPS) per inhabitant at constant 2005 prices,Poland
A,P1Y,2000,PNP,PPS_HAB_KP05,LV,,0,0,Annual,Annual,Year 2000,No data,Private non-profit sector,Purchasing Power Standard (PPS) per inhabitant at constant 2005 prices,Latvia
A,P1Y,2000,BES,MIO_EUR,ES,,3068.99,0.537,Annual,Annual,Year 2000,No data,Business enterprise sector,Million euro,Spain
A,P1Y,2000,GOV,MIO_EUR,ES,,904.78,0.158,Annual,Annual,Year 2000,No data,Government sector,Million euro,Spain
A,P1Y,2000,HES,MIO_EUR,ES,,1693.88,0.296,Annual,Annual,Year 2000,No data,Higher education sector,Million euro,Spain
A,P1Y,2000,PNP,MIO_EUR,ES,,51.34,0.009,Annual,Annual,Year 2000,No data,Private non-profit sector,Million euro,Spain
A,P1Y,2000,TOTAL,MIO_EUR,ES,,5718.99,1,Annual,Annual,Year 2000,No data,All sectors,Million euro,Spain
A,P1Y,2000,BES,MIO_EUR,EE,,8.334,0.225,Annual,Annual,Year 2000,No data,Business enterprise sector,Million euro,Estonia
A,P1Y,2000,GOV,MIO_EUR,EE,,8.564,0.231,Annual,Annual,Year 2000,No data,Government sector,Million euro,Estonia
A,P1Y,2000,HES,MIO_EUR,EE,,19.41,0.524,Annual,Annual,Year 2000,No data,Higher education sector,Million euro,Estonia
A,P1Y,2000,PNP,MIO_EUR,EE,,0.722,0.019,Annual,Annual,Year 2000,No data,Private non-profit sector,Million euro,Estonia
A,P1Y,2000,TOTAL,MIO_EUR,EE,,37.03,1,Annual,Annual,Year 2000,No data,All sectors,Million euro,Estonia
A,P1Y,2000,BES,MIO_EUR,DK,,2596.126,0.667,Annual,Annual,Year 2000,No data,Business enterprise sector,Million euro,Denmark
A,P1Y,2000,GOV,MIO_EUR,DK,,491.696,0.126,Annual,Annual,Year 2000,No data,Government sector,Million euro,Denmark
A,P1Y,2000,HES,MIO_EUR,DK,,769.54,0.198,Annual,Annual,Year 2000,No data,Higher education sector,Million euro,Denmark
A,P1Y,2000,PNP,MIO_EUR,DK,,34.345,0.009,Annual,Annual,Year 2000,No data,Private non-profit sector,Million euro,Denmark
A,P1Y,2000,TOTAL,MIO_EUR,DK,,3891.84,1,Annual,Annual,Year 2000,No data,All sectors,Million euro,Denmark
A,P1Y,2000,BES,MIO_EUR,DE,,35600,0.7,Annual,Annual,Year 2000,No data,Business enterprise sector,Million euro,Germany
A,P1Y,2000,GOV,MIO_EUR,DE,,6872.9,0.135,Annual,Annual,Year 2000,No data,Government sector,Million euro,Germany
A,P1Y,2000,BES,MIO_EUR,CZ,,446.133,0.6,Annual,Annual,Year 2000,No data,Business enterprise sector,Million euro,Czechia
A,P1Y,2000,GOV,MIO_EUR,CZ,,188.404,0.253,Annual,Annual,Year 2000,No data,Government sector,Million euro,Czechia
A,P1Y,2000,HES,MIO_EUR,CZ,,105.733,0.142,Annual,Annual,Year 2000,No data,Higher education sector,Million euro,Czechia
A,P1Y,2000,PNP,MIO_EUR,CZ,,3.773,0.005,Annual,Annual,Year 2000,No data,Private non-profit sector,Million euro,Czechia
A,P1Y,2000,TOTAL,MIO_EUR,CZ,,744.043,1,Annual,Annual,Year 2000,No data,All sectors,Million euro,Czechia
A,P1Y,2000,BES,MIO_EUR,IE,,842.2,0.716,Annual,Annual,Year 2000,No data,Business enterprise sector,Million euro,Ireland
A,P1Y,2000,GOV,MIO_EUR,IE,,95.6,0.081,Annual,Annual,Year 2000,No data,Government sector,Million euro,Ireland
A,P1Y,2000,HES,MIO_EUR,IE,,238.1,0.202,Annual,Annual,Year 2000,No data,Higher education sector,Million euro,Ireland
A,P1Y,2000,TOTAL,MIO_EUR,IE,,1175.9,1,Annual,Annual,Year 2000,No data,All sectors,Million euro,Ireland
A,P1Y,2000,BES,MIO_EUR,FR,,19348.42,0.625,Annual,Annual,Year 2000,No data,Business enterprise sector,Million euro,France
A,P1Y,2000,PNP,MIO_EUR,FR,,439.39,0.014,Annual,Annual,Year 2000,No data,Private non-profit sector,Million euro,France
A,P1Y,2000,BES,MIO_EUR,FI,,3135.94,0.709,Annual,Annual,Year 2000,No data,Business enterprise sector,Million euro,Finland
A,P1Y,2000,GOV,MIO_EUR,FI,,467.9,0.106,Annual,Annual,Year 2000,No data,Government sector,Million euro,Finland
A,P1Y,2000,HES,MIO_EUR,FI,,789.33,0.178,Annual,Annual,Year 2000,No data,Higher education sector,Million euro,Finland
A,P1Y,2000,PNP,MIO_EUR,FI,,29.5,0.007,Annual,Annual,Year 2000,No data,Private non-profit sector,Million euro,Finland
A,P1Y,2000,HES,MIO_NAC,LV,,11.241,0.376,Annual,Annual,Year 2000,No data,Higher education sector,Million units of national currency,Latvia
A,P1Y,2000,PNP,MIO_NAC,LV,,0,0,Annual,Annual,Year 2000,No data,Private non-profit sector,Million units of national currency,Latvia
A,P1Y,2000,TOTAL,MIO_NAC,LV,,29.866,1,Annual,Annual,Year 2000,No data,All sectors,Million units of national currency,Latvia
A,P1Y,2000,BES,MIO_NAC,LU,,337,0.926,Annual,Annual,Year 2000,No data,Business enterprise sector,Million units of national currency,Luxembourg
A,P1Y,2000,GOV,MIO_NAC,LU,,26,0.071,Annual,Annual,Year 2000,No data,Government sector,Million units of national currency,Luxembourg
A,P1Y,2000,HES,MIO_NAC,LU,,0.9,0.002,Annual,Annual,Year 2000,No data,Higher education sector,Million units of national currency,Luxembourg
A,P1Y,2000,TOTAL,MIO_NAC,LU,,363.9,1,Annual,Annual,Year 2000,No data,All sectors,Million units of national currency,Luxembourg
A,P1Y,2000,BES,MIO_NAC,LT,,16.81,0.215,Annual,Annual,Year 2000,No data,Business enterprise sector,Million units of national currency,Lithuania
A,P1Y,2000,GOV,MIO_NAC,LT,,32.797,0.42,Annual,Annual,Year 2000,No data,Government sector,Million units of national currency,Lithuania
A,P1Y,2000,HES,MIO_NAC,LT,,28.571,0.365,Annual,Annual,Year 2000,No data,Higher education sector,Million units of national currency,Lithuania
A,P1Y,2000,TOTAL,MIO_NAC,LT,,78.177,1,Annual,Annual,Year 2000,No data,All sectors,Million units of national currency,Lithuania
A,P1Y,2000,BES,MIO_NAC,IT,,6239,0.501,Annual,Annual,Year 2000,No data,Business enterprise sector,Million units of national currency,Italy
A,P1Y,2000,GOV,MIO_NAC,IT,,2356.2,0.189,Annual,Annual,Year 2000,No data,Government sector,Million units of national currency,Italy
A,P1Y,2000,HES,MIO_NAC,IT,,3865.1,0.31,Annual,Annual,Year 2000,No data,Higher education sector,Million units of national currency,Italy
A,P1Y,2000,TOTAL,MIO_NAC,IT,,12460.3,1,Annual,Annual,Year 2000,No data,All sectors,Million units of national currency,Italy
A,P1Y,2000,HES,PC_GDP,EU28,e,0.37,0.209,Annual,Annual,Year 2000,estimated,Higher education sector,Percentage of GDP,European Union
A,P1Y,2000,PNP,PC_GDP,EU28,e,0.01,0.006,Annual,Annual,Year 2000,estimated,Private non-profit sector,Percentage of GDP,European Union
A,P1Y,2000,TOTAL,PC_GDP,AT,e,1.89,1,Annual,Annual,Year 2000,estimated,All sectors,Percentage of GDP,Austria
A,P1Y,2000,BES,PC_GDP,PT,e,0.2,0.278,Annual,Annual,Year 2000,estimated,Business enterprise sector,Percentage of GDP,Portugal
A,P1Y,2000,GOV,PC_GDP,PT,e,0.17,0.236,Annual,Annual,Year 2000,estimated,Government sector,Percentage of GDP,Portugal
A,P1Y,2000,HES,PC_GDP,PT,e,0.27,0.375,Annual,Annual,Year 2000,estimated,Higher education sector,Percentage of GDP,Portugal
A,P1Y,2000,PNP,PC_GDP,PT,e,0.08,0.111,Annual,Annual,Year 2000,estimated,Private non-profit sector,Percentage of GDP,Portugal
A,P1Y,2000,TOTAL,PC_GDP,PT,e,0.72,1,Annual,Annual,Year 2000,estimated,All sectors,Percentage of GDP,Portugal
A,P1Y,2000,TOTAL,MIO_EUR,AT,e,4028.67,1,Annual,Annual,Year 2000,estimated,All sectors,Million euro,Austria
A,P1Y,2000,BES,MIO_EUR,PT,e,257.55,0.278,Annual,Annual,Year 2000,estimated,Business enterprise sector,Million euro,Portugal
A,P1Y,2000,GOV,MIO_EUR,PT,e,221.6,0.239,Annual,Annual,Year 2000,estimated,Government sector,Million euro,Portugal
A,P1Y,2000,HES,MIO_EUR,PT,e,347.51,0.375,Annual,Annual,Year 2000,estimated,Higher education sector,Million euro,Portugal
A,P1Y,2000,PNP,MIO_EUR,PT,e,99.93,0.108,Annual,Annual,Year 2000,estimated,Private non-profit sector,Million euro,Portugal
A,P1Y,2000,TOTAL,MIO_EUR,PT,e,926.59,1,Annual,Annual,Year 2000,estimated,All sectors,Million euro,Portugal
A,P1Y,2000,TOTAL,MIO_NAC,AT,e,4028.67,1,Annual,Annual,Year 2000,estimated,All sectors,Million units of national currency,Austria
A,P1Y,2000,BES,MIO_NAC,PT,e,257.55,0.278,Annual,Annual,Year 2000,estimated,Business enterprise sector,Million units of national currency,Portugal
A,P1Y,2000,GOV,MIO_NAC,PT,e,221.6,0.239,Annual,Annual,Year 2000,estimated,Government sector,Million units of national currency,Portugal
A,P1Y,2000,HES,MIO_NAC,PT,e,347.51,0.375,Annual,Annual,Year 2000,estimated,Higher education sector,Million units of national currency,Portugal
A,P1Y,2000,PNP,MIO_NAC,PT,e,99.93,0.108,Annual,Annual,Year 2000,estimated,Private non-profit sector,Million units of national currency,Portugal
A,P1Y,2000,TOTAL,MIO_NAC,PT,e,926.59,1,Annual,Annual,Year 2000,estimated,All sectors,Million units of national currency,Portugal
A,P1Y,2001,GOV,MIO_NAC,UK,b,1834,0.1,Annual,Annual,Year 2001,break in time series,Government sector,Million units of national currency,United Kingdom
A,P1Y,2001,BES,MIO_NAC,UK,b,11978,0.655,Annual,Annual,Year 2001,break in time series,Business enterprise sector,Million units of national currency,United Kingdom
A,P1Y,2001,BES,MIO_NAC,FR,b,20782.15,0.632,Annual,Annual,Year 2001,break in time series,Business enterprise sector,Million units of national currency,France
A,P1Y,2001,GOV,MIO_EUR,UK,b,2949.027,0.1,Annual,Annual,Year 2001,break in time series,Government sector,Million euro,United Kingdom
A,P1Y,2001,BES,MIO_EUR,UK,b,19260.331,0.655,Annual,Annual,Year 2001,break in time series,Business enterprise sector,Million euro,United Kingdom
A,P1Y,2001,BES,MIO_EUR,FR,b,20782.15,0.632,Annual,Annual,Year 2001,break in time series,Business enterprise sector,Million euro,France
A,P1Y,2001,BES,PC_GDP,FR,b,1.35,0.631,Annual,Annual,Year 2001,break in time series,Business enterprise sector,Percentage of GDP,France
A,P1Y,2001,PNP,MIO_NAC,NL,d,,,Annual,Annual,Year 2001,"definition differs, see metadata",Private non-profit sector,Million units of national currency,Netherlands
A,P1Y,2001,GOV,MIO_NAC,NL,d,1179,0.136,Annual,Annual,Year 2001,"definition differs, see metadata",Government sector,Million units of national currency,Netherlands
A,P1Y,2001,GOV,MIO_NAC,SE,d,2751,0.028,Annual,Annual,Year 2001,"definition differs, see metadata",Government sector,Million units of national currency,Sweden
A,P1Y,2001,GOV,MIO_NAC,SK,d,50.853,0.237,Annual,Annual,Year 2001,"definition differs, see metadata",Government sector,Million units of national currency,Slovakia
A,P1Y,2001,TOTAL,MIO_NAC,HU,d,140605.2,1,Annual,Annual,Year 2001,"definition differs, see metadata",All sectors,Million units of national currency,Hungary
A,P1Y,2001,HES,MIO_NAC,HU,d,36192.7,0.257,Annual,Annual,Year 2001,"definition differs, see metadata",Higher education sector,Million units of national currency,Hungary
A,P1Y,2001,GOV,MIO_NAC,HU,d,36390.8,0.259,Annual,Annual,Year 2001,"definition differs, see metadata",Government sector,Million units of national currency,Hungary
A,P1Y,2001,BES,MIO_NAC,HU,d,56372.8,0.401,Annual,Annual,Year 2001,"definition differs, see metadata",Business enterprise sector,Million units of national currency,Hungary
A,P1Y,2001,GOV,MIO_NAC,DE,d,7145.9,0.137,Annual,Annual,Year 2001,"definition differs, see metadata",Government sector,Million units of national currency,Germany
A,P1Y,2001,PNP,MIO_EUR,NL,d,,,Annual,Annual,Year 2001,"definition differs, see metadata",Private non-profit sector,Million euro,Netherlands
A,P1Y,2001,GOV,MIO_EUR,NL,d,1179,0.136,Annual,Annual,Year 2001,"definition differs, see metadata",Government sector,Million euro,Netherlands
A,P1Y,2001,GOV,MIO_EUR,SE,d,297.242,0.028,Annual,Annual,Year 2001,"definition differs, see metadata",Government sector,Million euro,Sweden
A,P1Y,2001,GOV,MIO_EUR,SK,d,35.381,0.237,Annual,Annual,Year 2001,"definition differs, see metadata",Government sector,Million euro,Slovakia
A,P1Y,2001,TOTAL,MIO_EUR,HU,d,547.976,1,Annual,Annual,Year 2001,"definition differs, see metadata",All sectors,Million euro,Hungary
A,P1Y,2001,HES,MIO_EUR,HU,d,141.053,0.257,Annual,Annual,Year 2001,"definition differs, see metadata",Higher education sector,Million euro,Hungary
A,P1Y,2001,GOV,MIO_EUR,HU,d,141.825,0.259,Annual,Annual,Year 2001,"definition differs, see metadata",Government sector,Million euro,Hungary
A,P1Y,2001,BES,MIO_EUR,HU,d,219.7,0.401,Annual,Annual,Year 2001,"definition differs, see metadata",Business enterprise sector,Million euro,Hungary
